                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.25359,                0.30896,                0.84319,                0.97305,                0.98737,                0.99425,                0.96663,                0.22094,                0.15284,                 0.8157,             7.0398e-05,             7.0398e-05,             7.0398e-05
                     85,                0.25701,                0.31719,                0.83892,                0.98644,                0.99126,                0.99421,                0.96539,                0.22029,                0.16007,                0.81356,               6.78e-05,               6.78e-05,               6.78e-05
                     86,                0.25433,                0.30948,                0.84105,                0.98779,                0.98769,                0.99395,                0.96319,                0.22458,                0.16128,                0.81641,             6.5203e-05,             6.5203e-05,             6.5203e-05
                     87,                0.25262,                0.30038,                0.84183,                 0.9872,                0.98656,                 0.9939,                0.96187,                 0.2227,                0.15806,                0.81712,             6.2605e-05,             6.2605e-05,             6.2605e-05
                     88,                0.25089,                0.30297,                0.84035,                0.98747,                0.99034,                0.99397,                0.96034,                0.22119,                0.15514,                0.81485,             6.0008e-05,             6.0008e-05,             6.0008e-05
                     89,                0.24932,                0.30081,                0.83622,                0.98837,                 0.9919,                0.99436,                0.96323,                0.21815,                0.15188,                 0.8148,              5.741e-05,              5.741e-05,              5.741e-05
                     90,                0.25636,                0.31523,                0.84237,                0.98906,                0.99232,                 0.9944,                0.96278,                0.22337,                0.14804,                0.82208,             5.4812e-05,             5.4812e-05,             5.4812e-05
                     91,                0.25506,                0.30145,                0.84206,                 0.9897,                0.99095,                0.99446,                0.96257,                0.22367,                0.14917,                0.82138,             5.2215e-05,             5.2215e-05,             5.2215e-05
                     92,                0.24849,                0.30615,                 0.8422,                0.98723,                0.99282,                0.99446,                0.96467,                 0.2211,                0.14498,                  0.822,             4.9617e-05,             4.9617e-05,             4.9617e-05
                     93,                0.24697,                0.29916,                 0.8397,                0.98978,                 0.9904,                0.99444,                0.96589,                0.21895,                0.14704,                0.81637,             4.7019e-05,             4.7019e-05,             4.7019e-05
                     94,                0.24529,                0.28732,                0.83635,                0.98913,                0.98984,                0.99433,                0.96447,                0.21832,                0.14871,                0.81833,             4.4422e-05,             4.4422e-05,             4.4422e-05
                     95,                 0.2392,                0.28202,                0.83893,                0.98996,                0.98659,                0.99421,                0.96547,                0.21428,                0.14735,                0.81247,             4.1824e-05,             4.1824e-05,             4.1824e-05
                     96,                0.24198,                0.28729,                0.83489,                0.98948,                0.99019,                0.99435,                 0.9668,                0.21709,                0.14687,                0.81423,             3.9227e-05,             3.9227e-05,             3.9227e-05
                     97,                0.24237,                0.29177,                0.83454,                 0.9904,                0.98744,                0.99432,                0.96405,                0.21437,                0.14591,                0.81216,             3.6629e-05,             3.6629e-05,             3.6629e-05
                     98,                0.24133,                 0.2818,                0.83467,                0.98977,                0.98928,                0.99429,                0.96793,                0.21365,                0.14419,                0.81232,             3.4031e-05,             3.4031e-05,             3.4031e-05
                     99,                0.24192,                0.29018,                0.83802,                0.98978,                0.98936,                0.99429,                 0.9673,                0.21256,                0.14465,                0.81272,             3.1434e-05,             3.1434e-05,             3.1434e-05
                    100,                0.18306,                0.16738,                0.80102,                0.98921,                 0.9899,                0.99425,                0.96206,                0.22309,                  0.155,                0.82074,             2.8836e-05,             2.8836e-05,             2.8836e-05
                    101,                0.17968,                0.15891,                0.79455,                0.98973,                0.99285,                 0.9944,                0.96487,                0.21828,                0.14947,                0.81411,             2.3833e-05,             2.3833e-05,             2.3833e-05
                    102,                0.17701,                0.15647,                0.79645,                0.98965,                 0.9908,                0.99441,                0.96506,                0.21695,                0.15192,                0.81494,             2.1212e-05,             2.1212e-05,             2.1212e-05
                    103,                0.17601,                 0.1558,                0.79395,                0.99076,                0.98921,                0.99443,                0.96609,                0.21653,                0.14852,                0.81405,              1.859e-05,              1.859e-05,              1.859e-05
                    104,                 0.1743,                0.15416,                0.79162,                0.98939,                0.98824,                0.99433,                0.96288,                0.21832,                0.14966,                0.82023,             1.5968e-05,             1.5968e-05,             1.5968e-05
                    105,                0.17145,                0.15014,                0.79131,                0.98884,                0.98946,                 0.9943,                0.96349,                0.21713,                0.14588,                0.82001,             1.3347e-05,             1.3347e-05,             1.3347e-05
                    106,                0.17332,                0.15288,                0.79103,                0.98795,                0.98917,                0.99435,                0.96556,                0.21676,                0.14502,                0.82032,             1.0725e-05,             1.0725e-05,             1.0725e-05
                    107,                0.17014,                0.14962,                0.79272,                0.98855,                0.98897,                0.99426,                0.96403,                0.21664,                  0.144,                0.82018,             8.1033e-06,             8.1033e-06,             8.1033e-06
                    108,                0.16987,                0.15023,                0.79014,                0.98911,                0.98907,                0.99425,                0.96539,                0.21649,                0.14483,                0.82043,             5.4817e-06,             5.4817e-06,             5.4817e-06
